DATE,UNRATE,,month,day,Year
3/1/1975,8.6,,3,1,1975
4/1/1975,8.8,,4,1,1975
5/1/1975,9,,5,1,1975
6/1/1975,8.8,,6,1,1975
7/1/1975,8.6,,7,1,1975
8/1/1975,8.4,,8,1,1975
9/1/1975,8.4,,9,1,1975
10/1/1975,8.4,,10,1,1975
11/1/1975,8.3,,11,1,1975
12/1/1975,8.2,,12,1,1975
1/1/1976,7.9,,1,1,1976
2/1/1976,7.7,,2,1,1976
3/1/1976,7.6,,3,1,1976
4/1/1976,7.7,,4,1,1976
5/1/1976,7.4,,5,1,1976
6/1/1976,7.6,,6,1,1976
7/1/1976,7.8,,7,1,1976
8/1/1976,7.8,,8,1,1976
9/1/1976,7.6,,9,1,1976
10/1/1976,7.7,,10,1,1976
11/1/1976,7.8,,11,1,1976
12/1/1976,7.8,,12,1,1976
1/1/1977,7.5,,1,1,1977
2/1/1977,7.6,,2,1,1977
3/1/1977,7.4,,3,1,1977
4/1/1977,7.2,,4,1,1977
5/1/1977,7,,5,1,1977
6/1/1977,7.2,,6,1,1977
7/1/1977,6.9,,7,1,1977
8/1/1977,7,,8,1,1977
9/1/1977,6.8,,9,1,1977
10/1/1977,6.8,,10,1,1977
11/1/1977,6.8,,11,1,1977
12/1/1977,6.4,,12,1,1977
1/1/1978,6.4,,1,1,1978
2/1/1978,6.3,,2,1,1978
3/1/1978,6.3,,3,1,1978
4/1/1978,6.1,,4,1,1978
5/1/1978,6,,5,1,1978
6/1/1978,5.9,,6,1,1978
7/1/1978,6.2,,7,1,1978
8/1/1978,5.9,,8,1,1978
9/1/1978,6,,9,1,1978
10/1/1978,5.8,,10,1,1978
11/1/1978,5.9,,11,1,1978
12/1/1978,6,,12,1,1978
1/1/1979,5.9,,1,1,1979
2/1/1979,5.9,,2,1,1979
3/1/1979,5.8,,3,1,1979
4/1/1979,5.8,,4,1,1979
5/1/1979,5.6,,5,1,1979
6/1/1979,5.7,,6,1,1979
7/1/1979,5.7,,7,1,1979
8/1/1979,6,,8,1,1979
9/1/1979,5.9,,9,1,1979
10/1/1979,6,,10,1,1979
11/1/1979,5.9,,11,1,1979
12/1/1979,6,,12,1,1979
1/1/1980,6.3,,1,1,1980
2/1/1980,6.3,,2,1,1980
3/1/1980,6.3,,3,1,1980
4/1/1980,6.9,,4,1,1980
5/1/1980,7.5,,5,1,1980
6/1/1980,7.6,,6,1,1980
7/1/1980,7.8,,7,1,1980
8/1/1980,7.7,,8,1,1980
9/1/1980,7.5,,9,1,1980
10/1/1980,7.5,,10,1,1980
11/1/1980,7.5,,11,1,1980
12/1/1980,7.2,,12,1,1980
1/1/1981,7.5,,1,1,1981
2/1/1981,7.4,,2,1,1981
3/1/1981,7.4,,3,1,1981
4/1/1981,7.2,,4,1,1981
5/1/1981,7.5,,5,1,1981
6/1/1981,7.5,,6,1,1981
7/1/1981,7.2,,7,1,1981
8/1/1981,7.4,,8,1,1981
9/1/1981,7.6,,9,1,1981
10/1/1981,7.9,,10,1,1981
11/1/1981,8.3,,11,1,1981
12/1/1981,8.5,,12,1,1981
1/1/1982,8.6,,1,1,1982
2/1/1982,8.9,,2,1,1982
3/1/1982,9,,3,1,1982
4/1/1982,9.3,,4,1,1982
5/1/1982,9.4,,5,1,1982
6/1/1982,9.6,,6,1,1982
7/1/1982,9.8,,7,1,1982
8/1/1982,9.8,,8,1,1982
9/1/1982,10.1,,9,1,1982
10/1/1982,10.4,,10,1,1982
11/1/1982,10.8,,11,1,1982
12/1/1982,10.8,,12,1,1982
1/1/1983,10.4,,1,1,1983
2/1/1983,10.4,,2,1,1983
3/1/1983,10.3,,3,1,1983
4/1/1983,10.2,,4,1,1983
5/1/1983,10.1,,5,1,1983
6/1/1983,10.1,,6,1,1983
7/1/1983,9.4,,7,1,1983
8/1/1983,9.5,,8,1,1983
9/1/1983,9.2,,9,1,1983
10/1/1983,8.8,,10,1,1983
11/1/1983,8.5,,11,1,1983
12/1/1983,8.3,,12,1,1983
1/1/1984,8,,1,1,1984
2/1/1984,7.8,,2,1,1984
3/1/1984,7.8,,3,1,1984
4/1/1984,7.7,,4,1,1984
5/1/1984,7.4,,5,1,1984
6/1/1984,7.2,,6,1,1984
7/1/1984,7.5,,7,1,1984
8/1/1984,7.5,,8,1,1984
9/1/1984,7.3,,9,1,1984
10/1/1984,7.4,,10,1,1984
11/1/1984,7.2,,11,1,1984
12/1/1984,7.3,,12,1,1984
1/1/1985,7.3,,1,1,1985
2/1/1985,7.2,,2,1,1985
3/1/1985,7.2,,3,1,1985
4/1/1985,7.3,,4,1,1985
5/1/1985,7.2,,5,1,1985
6/1/1985,7.4,,6,1,1985
7/1/1985,7.4,,7,1,1985
8/1/1985,7.1,,8,1,1985
9/1/1985,7.1,,9,1,1985
10/1/1985,7.1,,10,1,1985
11/1/1985,7,,11,1,1985
12/1/1985,7,,12,1,1985
1/1/1986,6.7,,1,1,1986
2/1/1986,7.2,,2,1,1986
3/1/1986,7.2,,3,1,1986
4/1/1986,7.1,,4,1,1986
5/1/1986,7.2,,5,1,1986
6/1/1986,7.2,,6,1,1986
7/1/1986,7,,7,1,1986
8/1/1986,6.9,,8,1,1986
9/1/1986,7,,9,1,1986
10/1/1986,7,,10,1,1986
11/1/1986,6.9,,11,1,1986
12/1/1986,6.6,,12,1,1986
1/1/1987,6.6,,1,1,1987
2/1/1987,6.6,,2,1,1987
3/1/1987,6.6,,3,1,1987
4/1/1987,6.3,,4,1,1987
5/1/1987,6.3,,5,1,1987
6/1/1987,6.2,,6,1,1987
7/1/1987,6.1,,7,1,1987
8/1/1987,6,,8,1,1987
9/1/1987,5.9,,9,1,1987
10/1/1987,6,,10,1,1987
11/1/1987,5.8,,11,1,1987
12/1/1987,5.7,,12,1,1987
1/1/1988,5.7,,1,1,1988
2/1/1988,5.7,,2,1,1988
3/1/1988,5.7,,3,1,1988
4/1/1988,5.4,,4,1,1988
5/1/1988,5.6,,5,1,1988
6/1/1988,5.4,,6,1,1988
7/1/1988,5.4,,7,1,1988
8/1/1988,5.6,,8,1,1988
9/1/1988,5.4,,9,1,1988
10/1/1988,5.4,,10,1,1988
11/1/1988,5.3,,11,1,1988
12/1/1988,5.3,,12,1,1988
1/1/1989,5.4,,1,1,1989
2/1/1989,5.2,,2,1,1989
3/1/1989,5,,3,1,1989
4/1/1989,5.2,,4,1,1989
5/1/1989,5.2,,5,1,1989
6/1/1989,5.3,,6,1,1989
7/1/1989,5.2,,7,1,1989
8/1/1989,5.2,,8,1,1989
9/1/1989,5.3,,9,1,1989
10/1/1989,5.3,,10,1,1989
11/1/1989,5.4,,11,1,1989
12/1/1989,5.4,,12,1,1989
1/1/1990,5.4,,1,1,1990
2/1/1990,5.3,,2,1,1990
3/1/1990,5.2,,3,1,1990
4/1/1990,5.4,,4,1,1990
5/1/1990,5.4,,5,1,1990
6/1/1990,5.2,,6,1,1990
7/1/1990,5.5,,7,1,1990
8/1/1990,5.7,,8,1,1990
9/1/1990,5.9,,9,1,1990
10/1/1990,5.9,,10,1,1990
11/1/1990,6.2,,11,1,1990
12/1/1990,6.3,,12,1,1990
1/1/1991,6.4,,1,1,1991
2/1/1991,6.6,,2,1,1991
3/1/1991,6.8,,3,1,1991
4/1/1991,6.7,,4,1,1991
5/1/1991,6.9,,5,1,1991
6/1/1991,6.9,,6,1,1991
7/1/1991,6.8,,7,1,1991
8/1/1991,6.9,,8,1,1991
9/1/1991,6.9,,9,1,1991
10/1/1991,7,,10,1,1991
11/1/1991,7,,11,1,1991
12/1/1991,7.3,,12,1,1991
1/1/1992,7.3,,1,1,1992
2/1/1992,7.4,,2,1,1992
3/1/1992,7.4,,3,1,1992
4/1/1992,7.4,,4,1,1992
5/1/1992,7.6,,5,1,1992
6/1/1992,7.8,,6,1,1992
7/1/1992,7.7,,7,1,1992
8/1/1992,7.6,,8,1,1992
9/1/1992,7.6,,9,1,1992
10/1/1992,7.3,,10,1,1992
11/1/1992,7.4,,11,1,1992
12/1/1992,7.4,,12,1,1992
1/1/1993,7.3,,1,1,1993
2/1/1993,7.1,,2,1,1993
3/1/1993,7,,3,1,1993
4/1/1993,7.1,,4,1,1993
5/1/1993,7.1,,5,1,1993
6/1/1993,7,,6,1,1993
7/1/1993,6.9,,7,1,1993
8/1/1993,6.8,,8,1,1993
9/1/1993,6.7,,9,1,1993
10/1/1993,6.8,,10,1,1993
11/1/1993,6.6,,11,1,1993
12/1/1993,6.5,,12,1,1993
1/1/1994,6.6,,1,1,1994
2/1/1994,6.6,,2,1,1994
3/1/1994,6.5,,3,1,1994
4/1/1994,6.4,,4,1,1994
5/1/1994,6.1,,5,1,1994
6/1/1994,6.1,,6,1,1994
