DATE,UNRATE,,month,day,Year
10/1/2009,10,,10,1,2009
11/1/2009,9.9,,11,1,2009
12/1/2009,9.9,,12,1,2009
1/1/2010,9.8,,1,1,2010
2/1/2010,9.8,,2,1,2010
3/1/2010,9.9,,3,1,2010
4/1/2010,9.9,,4,1,2010
5/1/2010,9.6,,5,1,2010
6/1/2010,9.4,,6,1,2010
7/1/2010,9.4,,7,1,2010
8/1/2010,9.5,,8,1,2010
9/1/2010,9.5,,9,1,2010
10/1/2010,9.4,,10,1,2010
11/1/2010,9.8,,11,1,2010
12/1/2010,9.3,,12,1,2010
1/1/2011,9.1,,1,1,2011
2/1/2011,9,,2,1,2011
3/1/2011,9,,3,1,2011
4/1/2011,9.1,,4,1,2011
5/1/2011,9,,5,1,2011
6/1/2011,9.1,,6,1,2011
7/1/2011,9,,7,1,2011
8/1/2011,9,,8,1,2011
9/1/2011,9,,9,1,2011
10/1/2011,8.8,,10,1,2011
11/1/2011,8.6,,11,1,2011
12/1/2011,8.5,,12,1,2011
1/1/2012,8.3,,1,1,2012
2/1/2012,8.3,,2,1,2012
3/1/2012,8.2,,3,1,2012
4/1/2012,8.2,,4,1,2012
5/1/2012,8.2,,5,1,2012
6/1/2012,8.2,,6,1,2012
7/1/2012,8.2,,7,1,2012
8/1/2012,8.1,,8,1,2012
9/1/2012,7.8,,9,1,2012
10/1/2012,7.8,,10,1,2012
11/1/2012,7.7,,11,1,2012
12/1/2012,7.9,,12,1,2012
1/1/2013,8,,1,1,2013
2/1/2013,7.7,,2,1,2013
3/1/2013,7.5,,3,1,2013
4/1/2013,7.6,,4,1,2013
5/1/2013,7.5,,5,1,2013
6/1/2013,7.5,,6,1,2013
7/1/2013,7.3,,7,1,2013
8/1/2013,7.2,,8,1,2013
9/1/2013,7.2,,9,1,2013
10/1/2013,7.2,,10,1,2013
11/1/2013,6.9,,11,1,2013
12/1/2013,6.7,,12,1,2013
1/1/2014,6.6,,1,1,2014
2/1/2014,6.7,,2,1,2014
3/1/2014,6.7,,3,1,2014
4/1/2014,6.3,,4,1,2014
5/1/2014,6.3,,5,1,2014
6/1/2014,6.1,,6,1,2014
7/1/2014,6.2,,7,1,2014
8/1/2014,6.2,,8,1,2014
9/1/2014,5.9,,9,1,2014
10/1/2014,5.7,,10,1,2014
11/1/2014,5.8,,11,1,2014
12/1/2014,5.6,,12,1,2014
1/1/2015,5.7,,1,1,2015
2/1/2015,5.5,,2,1,2015
3/1/2015,5.5,,3,1,2015
4/1/2015,5.4,,4,1,2015
5/1/2015,5.5,,5,1,2015
6/1/2015,5.3,,6,1,2015
7/1/2015,5.2,,7,1,2015
8/1/2015,5.1,,8,1,2015
9/1/2015,5,,9,1,2015
10/1/2015,5,,10,1,2015
11/1/2015,5,,11,1,2015
12/1/2015,5,,12,1,2015
1/1/2016,4.9,,1,1,2016
2/1/2016,4.9,,2,1,2016
3/1/2016,5,,3,1,2016
4/1/2016,5,,4,1,2016
5/1/2016,4.7,,5,1,2016
6/1/2016,4.9,,6,1,2016
7/1/2016,4.9,,7,1,2016
8/1/2016,4.9,,8,1,2016
9/1/2016,5,,9,1,2016
10/1/2016,4.9,,10,1,2016
11/1/2016,4.6,,11,1,2016
12/1/2016,4.7,,12,1,2016
1/1/2017,4.8,,1,1,2017
2/1/2017,4.7,,2,1,2017
3/1/2017,4.5,,3,1,2017
4/1/2017,4.4,,4,1,2017
5/1/2017,4.3,,5,1,2017
6/1/2017,4.3,,6,1,2017
7/1/2017,4.3,,7,1,2017
8/1/2017,4.4,,8,1,2017
9/1/2017,4.2,,9,1,2017
10/1/2017,4.1,,10,1,2017
11/1/2017,4.1,,11,1,2017
12/1/2017,4.1,,12,1,2017
1/1/2018,4.1,,1,1,2018
